,repo_id,actor_count,year_month,community
888,217475193,16,2020-12,PaddleDetection
889,262296122,20,2020-12,PaddleOCR
891,88868842,27,2020-12,models
893,65711522,106,2020-12,Paddle
907,273214029,4,2021-01,PaddleGAN
917,228290594,8,2021-01,PaddleSlim
918,162672577,9,2021-01,PaddleHub
921,217475193,10,2021-01,PaddleDetection
922,204380779,10,2021-01,PaddleSeg
925,262296122,23,2021-01,PaddleOCR
926,88868842,24,2021-01,models
929,65711522,108,2021-01,Paddle
951,204380779,5,2021-02,PaddleSeg
957,273214029,7,2021-02,PaddleGAN
958,228290594,7,2021-02,PaddleSlim
959,162672577,9,2021-02,PaddleHub
961,217475193,10,2021-02,PaddleDetection
964,262296122,16,2021-02,PaddleOCR
965,336274588,16,2021-02,PaddleNLP
966,88868842,17,2021-02,models
969,65711522,101,2021-02,Paddle
991,88868842,4,2021-03,models
1000,204380779,9,2021-03,PaddleSeg
1002,162672577,10,2021-03,PaddleHub
1003,228290594,10,2021-03,PaddleSlim
1004,273214029,10,2021-03,PaddleGAN
1007,217475193,16,2021-03,PaddleDetection
1008,336274588,17,2021-03,PaddleNLP
1009,262296122,17,2021-03,PaddleOCR
1012,65711522,114,2021-03,Paddle
1037,88868842,6,2021-04,models
1038,228290594,6,2021-04,PaddleSlim
1040,162672577,7,2021-04,PaddleHub
1043,204380779,9,2021-04,PaddleSeg
1046,217475193,15,2021-04,PaddleDetection
1047,336274588,21,2021-04,PaddleNLP
1048,262296122,24,2021-04,PaddleOCR
1049,273214029,24,2021-04,PaddleGAN
1052,65711522,125,2021-04,Paddle
1073,88868842,5,2021-05,models
1074,162672577,6,2021-05,PaddleHub
1080,273214029,7,2021-05,PaddleGAN
1087,228290594,10,2021-05,PaddleSlim
1088,204380779,10,2021-05,PaddleSeg
1090,262296122,15,2021-05,PaddleOCR
1093,217475193,22,2021-05,PaddleDetection
1094,336274588,24,2021-05,PaddleNLP
1095,65711522,105,2021-05,Paddle
1112,88868842,3,2021-06,models
1124,228290594,6,2021-06,PaddleSlim
1128,273214029,8,2021-06,PaddleGAN
1130,204380779,9,2021-06,PaddleSeg
1132,162672577,11,2021-06,PaddleHub
1134,217475193,16,2021-06,PaddleDetection
1135,262296122,17,2021-06,PaddleOCR
1137,336274588,27,2021-06,PaddleNLP
1139,65711522,121,2021-06,Paddle
1151,88868842,4,2021-07,models
1155,228290594,5,2021-07,PaddleSlim
1158,273214029,6,2021-07,PaddleGAN
1159,162672577,6,2021-07,PaddleHub
1172,204380779,17,2021-07,PaddleSeg
1173,262296122,19,2021-07,PaddleOCR
1174,336274588,20,2021-07,PaddleNLP
1175,217475193,25,2021-07,PaddleDetection
1178,65711522,129,2021-07,Paddle
1184,88868842,2,2021-08,models
1207,273214029,5,2021-08,PaddleGAN
1209,228290594,8,2021-08,PaddleSlim
1211,162672577,9,2021-08,PaddleHub
1213,204380779,11,2021-08,PaddleSeg
1216,262296122,21,2021-08,PaddleOCR
1218,217475193,21,2021-08,PaddleDetection
1219,336274588,22,2021-08,PaddleNLP
1222,65711522,149,2021-08,Paddle
1239,88868842,3,2021-09,models
1246,273214029,5,2021-09,PaddleGAN
1251,228290594,6,2021-09,PaddleSlim
1254,162672577,7,2021-09,PaddleHub
1257,204380779,11,2021-09,PaddleSeg
1260,217475193,15,2021-09,PaddleDetection
1261,262296122,16,2021-09,PaddleOCR
1264,336274588,24,2021-09,PaddleNLP
1267,65711522,171,2021-09,Paddle
1276,204380779,1,2021-10,PaddleSeg
1277,162672577,1,2021-10,PaddleHub
1286,336274588,3,2021-10,PaddleNLP
1287,262296122,3,2021-10,PaddleOCR
1288,217475193,3,2021-10,PaddleDetection
1292,65711522,11,2021-10,Paddle
1319,162672577,7,2021-11,PaddleHub
1321,228290594,8,2021-11,PaddleSlim
1323,273214029,10,2021-11,PaddleGAN
1326,88868842,11,2021-11,models
1332,204380779,18,2021-11,PaddleSeg
1333,336274588,22,2021-11,PaddleNLP
1334,262296122,22,2021-11,PaddleOCR
1335,217475193,27,2021-11,PaddleDetection
1338,65711522,151,2021-11,Paddle
1369,162672577,8,2021-12,PaddleHub
1370,228290594,8,2021-12,PaddleSlim
1371,273214029,8,2021-12,PaddleGAN
1378,88868842,14,2021-12,models
1379,204380779,16,2021-12,PaddleSeg
1381,217475193,19,2021-12,PaddleDetection
1382,336274588,27,2021-12,PaddleNLP
1383,262296122,29,2021-12,PaddleOCR
1386,65711522,158,2021-12,Paddle
1402,162672577,3,2022-01,PaddleHub
1413,273214029,5,2022-01,PaddleGAN
1416,228290594,6,2022-01,PaddleSlim
1417,88868842,7,2022-01,models
1422,204380779,15,2022-01,PaddleSeg
1426,217475193,20,2022-01,PaddleDetection
1427,336274588,25,2022-01,PaddleNLP
1429,262296122,34,2022-01,PaddleOCR
1431,65711522,150,2022-01,Paddle
1445,273214029,3,2022-02,PaddleGAN
1456,162672577,5,2022-02,PaddleHub
1457,228290594,5,2022-02,PaddleSlim
1463,88868842,8,2022-02,models
1467,204380779,13,2022-02,PaddleSeg
1468,217475193,14,2022-02,PaddleDetection
1472,336274588,22,2022-02,PaddleNLP
1474,262296122,25,2022-02,PaddleOCR
1475,65711522,130,2022-02,Paddle
1501,273214029,4,2022-03,PaddleGAN
1512,162672577,7,2022-03,PaddleHub
1513,228290594,7,2022-03,PaddleSlim
1516,88868842,10,2022-03,models
1517,204380779,12,2022-03,PaddleSeg
1521,262296122,21,2022-03,PaddleOCR
1522,217475193,22,2022-03,PaddleDetection
1524,336274588,30,2022-03,PaddleNLP
1528,65711522,175,2022-03,Paddle
1544,162672577,4,2022-04,PaddleHub
1550,273214029,5,2022-04,PaddleGAN
1555,88868842,8,2022-04,models
1561,228290594,10,2022-04,PaddleSlim
1563,204380779,12,2022-04,PaddleSeg
1566,262296122,17,2022-04,PaddleOCR
1568,336274588,20,2022-04,PaddleNLP
1569,217475193,22,2022-04,PaddleDetection
1572,65711522,166,2022-04,Paddle
1581,162672577,2,2022-05,PaddleHub
1591,273214029,4,2022-05,PaddleGAN
1604,88868842,8,2022-05,models
1609,228290594,11,2022-05,PaddleSlim
1610,204380779,12,2022-05,PaddleSeg
1615,217475193,20,2022-05,PaddleDetection
1618,262296122,24,2022-05,PaddleOCR
1619,336274588,35,2022-05,PaddleNLP
1621,65711522,158,2022-05,Paddle
1632,162672577,2,2022-06,PaddleHub
1635,88868842,2,2022-06,models
1643,507861208,3,2022-06,FastDeploy
1652,273214029,4,2022-06,PaddleGAN
1660,228290594,8,2022-06,PaddleSlim
1661,204380779,10,2022-06,PaddleSeg
1669,217475193,22,2022-06,PaddleDetection
1670,262296122,30,2022-06,PaddleOCR
1672,336274588,37,2022-06,PaddleNLP
1673,65711522,155,2022-06,Paddle
1698,273214029,4,2022-07,PaddleGAN
1703,162672577,6,2022-07,PaddleHub
1705,507861208,8,2022-07,FastDeploy
1709,204380779,12,2022-07,PaddleSeg
1710,228290594,12,2022-07,PaddleSlim
1717,262296122,23,2022-07,PaddleOCR
1718,217475193,27,2022-07,PaddleDetection
1720,336274588,30,2022-07,PaddleNLP
1722,65711522,170,2022-07,Paddle
1740,273214029,5,2022-08,PaddleGAN
1741,162672577,5,2022-08,PaddleHub
1751,228290594,8,2022-08,PaddleSlim
1753,507861208,9,2022-08,FastDeploy
1758,204380779,17,2022-08,PaddleSeg
1762,262296122,27,2022-08,PaddleOCR
1763,217475193,29,2022-08,PaddleDetection
1764,336274588,30,2022-08,PaddleNLP
1766,65711522,166,2022-08,Paddle
1780,88868842,2,2022-09,models
1790,273214029,6,2022-09,PaddleGAN
1797,228290594,10,2022-09,PaddleSlim
1799,162672577,10,2022-09,PaddleHub
1805,204380779,15,2022-09,PaddleSeg
1806,507861208,15,2022-09,FastDeploy
1809,217475193,20,2022-09,PaddleDetection
1810,262296122,21,2022-09,PaddleOCR
1812,336274588,30,2022-09,PaddleNLP
1815,65711522,160,2022-09,Paddle
1839,88868842,4,2022-10,models
1842,162672577,5,2022-10,PaddleHub
1844,273214029,6,2022-10,PaddleGAN
1848,228290594,8,2022-10,PaddleSlim
1853,204380779,12,2022-10,PaddleSeg
1858,507861208,20,2022-10,FastDeploy
1860,217475193,25,2022-10,PaddleDetection
1861,262296122,30,2022-10,PaddleOCR
1862,336274588,31,2022-10,PaddleNLP
1864,65711522,160,2022-10,Paddle
1890,273214029,4,2022-11,PaddleGAN
1896,162672577,5,2022-11,PaddleHub
1901,228290594,10,2022-11,PaddleSlim
1902,204380779,11,2022-11,PaddleSeg
1909,262296122,21,2022-11,PaddleOCR
1912,217475193,23,2022-11,PaddleDetection
1914,507861208,28,2022-11,FastDeploy
1915,88868842,33,2022-11,models
1916,336274588,37,2022-11,PaddleNLP
1918,65711522,171,2022-11,Paddle
1923,273214029,1,2022-12,PaddleGAN
1928,88868842,2,2022-12,models
1948,162672577,5,2022-12,PaddleHub
1954,228290594,8,2022-12,PaddleSlim
1962,204380779,16,2022-12,PaddleSeg
1964,217475193,21,2022-12,PaddleDetection
1965,262296122,23,2022-12,PaddleOCR
1967,507861208,28,2022-12,FastDeploy
1969,336274588,41,2022-12,PaddleNLP
1971,65711522,176,2022-12,Paddle
1978,162672577,1,2023-01,PaddleHub
1994,273214029,2,2023-01,PaddleGAN
2006,88868842,8,2023-01,models
2009,228290594,8,2023-01,PaddleSlim
2010,204380779,9,2023-01,PaddleSeg
2015,217475193,16,2023-01,PaddleDetection
2016,262296122,17,2023-01,PaddleOCR
2019,507861208,21,2023-01,FastDeploy
2020,336274588,33,2023-01,PaddleNLP
2022,65711522,158,2023-01,Paddle
2027,162672577,1,2023-02,PaddleHub
2044,273214029,4,2023-02,PaddleGAN
