,repo_id,forks,year_month,community
1189,273214029,26,2020-11,PaddleGAN
1201,228290594,4,2020-11,PaddleSlim
1235,162672577,483,2020-12,PaddleHub
1236,262296122,275,2020-12,PaddleOCR
1237,65711522,87,2020-12,Paddle
1238,217475193,73,2020-12,PaddleDetection
1239,88868842,66,2020-12,models
1242,273214029,33,2020-12,PaddleGAN
1243,204380779,27,2020-12,PaddleSeg
1257,228290594,8,2020-12,PaddleSlim
1289,262296122,420,2021-01,PaddleOCR
1291,65711522,87,2021-01,Paddle
1292,162672577,52,2021-01,PaddleHub
1293,217475193,38,2021-01,PaddleDetection
1294,88868842,38,2021-01,models
1297,204380779,22,2021-01,PaddleSeg
1303,273214029,15,2021-01,PaddleGAN
1313,228290594,5,2021-01,PaddleSlim
1343,262296122,176,2021-02,PaddleOCR
1344,65711522,157,2021-02,Paddle
1346,336274588,57,2021-02,PaddleNLP
1347,88868842,43,2021-02,models
1348,273214029,28,2021-02,PaddleGAN
1349,217475193,25,2021-02,PaddleDetection
1351,162672577,25,2021-02,PaddleHub
1353,204380779,18,2021-02,PaddleSeg
1366,228290594,6,2021-02,PaddleSlim
1398,273214029,246,2021-03,PaddleGAN
1399,262296122,149,2021-03,PaddleOCR
1400,65711522,107,2021-03,Paddle
1401,217475193,51,2021-03,PaddleDetection
1402,336274588,41,2021-03,PaddleNLP
1403,162672577,40,2021-03,PaddleHub
1404,204380779,37,2021-03,PaddleSeg
1407,88868842,33,2021-03,models
1419,228290594,8,2021-03,PaddleSlim
1456,262296122,201,2021-04,PaddleOCR
1457,273214029,122,2021-04,PaddleGAN
1458,217475193,110,2021-04,PaddleDetection
1459,65711522,100,2021-04,Paddle
1460,336274588,59,2021-04,PaddleNLP
1461,88868842,46,2021-04,models
1462,162672577,32,2021-04,PaddleHub
1463,204380779,27,2021-04,PaddleSeg
1474,228290594,8,2021-04,PaddleSlim
1512,217475193,186,2021-05,PaddleDetection
1513,262296122,125,2021-05,PaddleOCR
1514,65711522,78,2021-05,Paddle
1515,273214029,39,2021-05,PaddleGAN
1516,162672577,38,2021-05,PaddleHub
