,repo_id,record_num,year_month,community
802,162672577,37,2020-12,PaddleHub
803,228290594,35,2020-12,PaddleSlim
809,273214029,24,2020-12,PaddleGAN
829,65711522,410,2021-01,Paddle
832,217475193,65,2021-01,PaddleDetection
833,262296122,60,2021-01,PaddleOCR
837,228290594,44,2021-01,PaddleSlim
838,88868842,36,2021-01,models
842,204380779,29,2021-01,PaddleSeg
846,162672577,16,2021-01,PaddleHub
848,273214029,14,2021-01,PaddleGAN
864,65711522,244,2021-02,Paddle
867,217475193,75,2021-02,PaddleDetection
868,262296122,67,2021-02,PaddleOCR
870,228290594,41,2021-02,PaddleSlim
871,273214029,31,2021-02,PaddleGAN
872,336274588,31,2021-02,PaddleNLP
875,88868842,21,2021-02,models
879,204380779,17,2021-02,PaddleSeg
891,162672577,4,2021-02,PaddleHub
904,65711522,315,2021-03,Paddle
906,336274588,105,2021-03,PaddleNLP
908,217475193,76,2021-03,PaddleDetection
910,262296122,28,2021-03,PaddleOCR
911,273214029,25,2021-03,PaddleGAN
913,204380779,22,2021-03,PaddleSeg
914,162672577,19,2021-03,PaddleHub
927,228290594,6,2021-03,PaddleSlim
942,65711522,362,2021-04,Paddle
943,217475193,152,2021-04,PaddleDetection
945,262296122,102,2021-04,PaddleOCR
946,336274588,70,2021-04,PaddleNLP
953,204380779,19,2021-04,PaddleSeg
954,162672577,15,2021-04,PaddleHub
955,228290594,14,2021-04,PaddleSlim
956,273214029,13,2021-04,PaddleGAN
966,88868842,4,2021-04,models
978,65711522,218,2021-05,Paddle
979,217475193,116,2021-05,PaddleDetection
981,336274588,92,2021-05,PaddleNLP
985,262296122,48,2021-05,PaddleOCR
991,228290594,22,2021-05,PaddleSlim
992,273214029,19,2021-05,PaddleGAN
994,204380779,15,2021-05,PaddleSeg
1009,88868842,5,2021-05,models
1010,162672577,5,2021-05,PaddleHub
1019,65711522,376,2021-06,Paddle
1021,336274588,124,2021-06,PaddleNLP
1023,217475193,73,2021-06,PaddleDetection
1027,262296122,36,2021-06,PaddleOCR
1030,162672577,25,2021-06,PaddleHub
1033,228290594,18,2021-06,PaddleSlim
1034,204380779,17,2021-06,PaddleSeg
1038,273214029,12,2021-06,PaddleGAN
1060,88868842,1,2021-06,models
1061,65711522,335,2021-07,Paddle
1063,217475193,92,2021-07,PaddleDetection
1064,336274588,64,2021-07,PaddleNLP
1069,204380779,43,2021-07,PaddleSeg
1070,262296122,40,2021-07,PaddleOCR
1072,228290594,30,2021-07,PaddleSlim
1078,273214029,12,2021-07,PaddleGAN
1084,162672577,8,2021-07,PaddleHub
1089,88868842,5,2021-07,models
1098,65711522,305,2021-08,Paddle
