created_at,full_name,openrank_monthly
2024-10-01,activeloopai/deeplake,12.973800659179688
2024-11-01,activeloopai/deeplake,12.33685302734375
2024-12-01,activeloopai/deeplake,9.804609298706055
2025-01-01,activeloopai/deeplake,9.451957702636719
2025-02-01,activeloopai/deeplake,9.3523530960083
2025-03-01,activeloopai/deeplake,9.57774543762207
2025-04-01,activeloopai/deeplake,5.3983154296875
2025-05-01,activeloopai/deeplake,4.021633148193359
2025-06-01,activeloopai/deeplake,3.3125412464141846
2025-07-01,activeloopai/deeplake,2.446216583251953
2025-08-01,activeloopai/deeplake,1.5058526992797852
2025-09-01,activeloopai/deeplake,2.0820298194885254
2024-10-01,apache/accumulo,25.478883743286133
2024-11-01,apache/accumulo,23.74968719482422
2024-12-01,apache/accumulo,20.82707977294922
2025-01-01,apache/accumulo,25.03933334350586
2025-02-01,apache/accumulo,22.46586799621582
2025-03-01,apache/accumulo,25.351985931396484
2025-04-01,apache/accumulo,24.79206085205078
2025-05-01,apache/accumulo,24.668264389038086
2025-06-01,apache/accumulo,23.374160766601562
2025-07-01,apache/accumulo,22.287464141845703
2025-08-01,apache/accumulo,22.044050216674805
2025-09-01,apache/accumulo,22.19327163696289
2024-10-01,apache/cassandra,45.454856872558594
2024-11-01,apache/cassandra,45.885169982910156
2024-12-01,apache/cassandra,40.60020065307617
2025-01-01,apache/cassandra,46.20135498046875
2025-02-01,apache/cassandra,41.26237869262695
2025-03-01,apache/cassandra,44.305137634277344
2025-04-01,apache/cassandra,54.394187927246094
2025-05-01,apache/cassandra,46.74881362915039
2025-06-01,apache/cassandra,33.77362823486328
2025-07-01,apache/cassandra,32.955928802490234
2025-08-01,apache/cassandra,42.806365966796875
2025-09-01,apache/cassandra,41.070167541503906
2024-10-01,apache/couchdb,20.98615837097168
2024-11-01,apache/couchdb,17.90456199645996
2024-12-01,apache/couchdb,19.43376922607422
2025-01-01,apache/couchdb,21.4918270111084
2025-02-01,apache/couchdb,17.831493377685547
2025-03-01,apache/couchdb,15.565719604492188
2025-04-01,apache/couchdb,20.602375030517578
2025-05-01,apache/couchdb,19.729291915893555
2025-06-01,apache/couchdb,18.079120635986328
2025-07-01,apache/couchdb,17.926227569580078
2025-08-01,apache/couchdb,15.58609390258789
2025-09-01,apache/couchdb,19.006305694580078
2024-10-01,apache/doris,305.42633056640625
2024-11-01,apache/doris,305.74932861328125
2024-12-01,apache/doris,300.11553955078125
2025-01-01,apache/doris,292.58294677734375
2025-02-01,apache/doris,286.92755126953125
2025-03-01,apache/doris,285.3594665527344
2025-04-01,apache/doris,284.3272399902344
2025-05-01,apache/doris,283.0904846191406
2025-06-01,apache/doris,281.1908874511719
2025-07-01,apache/doris,279.6606140136719
2025-08-01,apache/doris,269.1495361328125
2025-09-01,apache/doris,265.80816650390625
2024-10-01,apache/druid,95.60450744628906
2024-11-01,apache/druid,84.10227966308594
2024-12-01,apache/druid,65.03897857666016
2025-01-01,apache/druid,54.80874252319336
2025-02-01,apache/druid,54.53457260131836
2025-03-01,apache/druid,51.7884407043457
2025-04-01,apache/druid,50.49333190917969
2025-05-01,apache/druid,52.58512496948242
2025-06-01,apache/druid,54.217529296875
2025-07-01,apache/druid,51.63981628417969
2025-08-01,apache/druid,53.560977935791016
2025-09-01,apache/druid,49.748531341552734
2024-10-01,apache/flink,102.31673431396484
2024-11-01,apache/flink,94.86864471435547
2024-12-01,apache/flink,94.38475799560547
2025-01-01,apache/flink,112.39026641845703
2025-02-01,apache/flink,108.89878845214844
2025-03-01,apache/flink,98.74507141113281
2025-04-01,apache/flink,101.63249206542969
2025-05-01,apache/flink,82.76715850830078
2025-06-01,apache/flink,82.51332092285156
2025-07-01,apache/flink,79.45555114746094
